Question,Answer
The book's preface begins on page 5.,True
Chapter 1 solely focuses on microeconomics.,False
The book covers topics related to consumer choice.,True
The curriculum was developed by Hanoi National University only.,False
Which of the following is NOT a topic covered in Chapter 1?,1
Chapter 2 primarily discusses:,1
"According to the table of contents, what is discussed in section 2.2.1?",1
In which chapter would you find information about indifference curves?,2
What is the main subject of Chapter 3?,2
The book's content suggests that it is:,1
Chapter 4 focuses on consumer choices and demand curves.,False
The book covers both perfectly and imperfectly competitive markets.,True
Chapter 7 discusses factors of production and business choices.,True
Cost analysis is covered in Chapter 5.,False
A detailed analysis of oligopoly markets is presented in Chapter 6.,True
Which chapter primarily deals with cost analysis?,1
What is the main topic of Chapter 5?,2
In which chapter would you find a discussion on price discrimination by monopolies?,2
The concept of  'economies of scale' is likely discussed in which chapter?,1
Which chapter begins with a section titled 'Concepts and characteristics of perfectly competitive markets'?,1
Microeconomics focuses on the analysis of the entire economy as a whole.,False
Microeconomics was introduced into teaching in Vietnam right from the 90s of the last century.,True
"According to the preface, understanding market operations is irrelevant to understanding the entire economy.",False
Chapter 7 focuses on:,2
Which of the following is NOT explicitly mentioned as a topic covered in the book?,3
Chapter 8 primarily deals with:,1
The book's preface suggests that microeconomics is important for understanding:,2
Microeconomics was initially taught only to final-year students.,False
The textbook was published immediately after the author finished writing it.,False
The textbook covers welfare economics in detail.,False
The author solely wrote the textbook without any external input.,False
The book's draft was circulated before its official publication.,True
Which chapter introduces the supply-demand model?,2
What is the main focus of Chapters 7-9?,2
"Besides Housing Microeconomics (Microeconomics I), what other course do final year students study in most programs, according to the text?",1
How many chapters are in this microeconomics textbook?,1
Where should comments and contributions regarding the textbook be sent?,2
"The textbook should be sent to the Department of Development Economics at the University of Economics, Hanoi National University.",True
Chapter 1 focuses solely on microeconomics.,False
The chapter introduces the concept of scarcity as a core economic principle.,True
Positive and implicit analysis are considered interchangeable in the text.,False
Economic activity is defined exclusively as production activities.,False
"According to the text, football is not considered an economic activity.",False
What is the main focus of Chapter 1?,2
Which of the following is NOT explicitly mentioned as an example of an economic activity?,3
What is a key difference between inputs and outputs in the context of production?,2
"What significantly influences production decisions, according to the text?",2
Consumer preferences have a significant impact on production decisions.,True
Exchange of goods is not a fundamental economic activity in modern societies.,False
The distribution of output goods is entirely unrelated to the distribution of input factors.,False
Economic decisions are characterized by the absence of choices.,False
Human needs are finite and easily satisfied.,False
Resources in society are essentially unlimited.,False
Scarcity of resources forces society to make choices about production.,True
The production possibility frontier illustrates the concept of unlimited resources.,False
What is the primary reason that economic decisions involve choices?,1
Which of the following best describes the impact of exchange on the social production process?,2
"According to the passage, what is the essence of economic decisions?",2
What is the main constraint that prevents humans from producing all goods in any desired quantity?,2
The production possibility frontier (PPF) demonstrates:,1
Point E in Figure 1.1 represents a production point within the economy's capacity.,False
Points on the production possibilities frontier represent efficient use of resources.,True
"An inefficient state, like point F, means the economy is operating at its maximum capacity.",False
The opportunity cost of producing more of good X is the amount of good Y that must be given up.,True
Point A in Figure 1.1 represents the production of 300 units of good Y and 0 units of good X.,False
"According to the text, what is the opportunity cost of producing 10 more units of good X when moving from point C to point B?",1
Which of the following points represents an inefficient allocation of resources?,3
What does the production possibilities frontier illustrate?,1
A point outside the production possibilities frontier is considered:,1
The choice of which point on the production possibilities frontier is best for society depends on:,2
The opportunity cost of producing one additional unit of good X is constant.,False
A production possibilities frontier is always a straight line.,False
"Point E, representing unachievable production levels, can be achieved with increased resources or technology.",True
Economic growth is represented by an inward shift of the production possibilities frontier.,False
The law of diminishing returns states that increasing one input while holding others constant will always lead to proportionally increasing output.,False
"According to the passage, what is the shape of a typical production possibilities frontier?",2
What does the ratio -∆Y/∆X measure in the context of the passage?,2
"In the example of food production, what is held constant to illustrate the law of diminishing returns?",2
What happens to the incremental increase in food output as more units of labor are added in the example provided?,2
"The essence of economic growth, according to the passage, is:",2
The law of diminishing returns always causes a decrease in additional output with each additional unit of labor.,False
"Opportunity costs tend to increase when producing more of a good due, in part, to the law of diminishing returns.",True
